media_id,director_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
7,8
8,9
9,10
10,11
11,12
12,13
13,14
14,3
15,15
16,16
19,17
22,18
24,19
25,20
32,21
36,22
37,23
38,24
39,24
40,24
41,24
43,24
44,24
45,24
46,24
47,24
48,24
49,24
50,24
51,24
52,25
54,26
55,26
59,27
60,28
62,29
68,30
70,31
73,32
76,33
77,33
79,34
80,35
81,36
82,37
83,38
88,39
89,40
90,41
90,6312
91,42
92,43
93,44
94,44
95,45
96,46
97,47
99,48
102,49
103,50
105,51
107,52
108,53
108,54
109,55
110,56
111,57
111,57
113,58
114,59
116,60
117,61
118,62
119,62
120,62
121,62
122,63
123,64
124,65
125,66
126,67
127,68
132,69
133,70
135,71
136,72
139,73
141,74
141,75
142,76
143,77
144,78
146,79
147,24
148,24
150,80
151,81
152,82
153,83
154,83
155,84
156,85
159,86
160,87
161,88
164,89
165,90
166,91
167,92
168,93
172,94
173,95
174,96
175,97
177,10685
179,98
180,99
181,100
182,101
184,102
186,103
189,104
192,105
193,106
196,33
199,107
199,108
200,109
201,110
202,111
203,112
204,112
205,112
207,113
209,114
210,114
213,115
214,116
217,117
217,118
218,119
219,33
220,120
221,121
221,7828
222,87
224,122
225,123
227,124
228,125
231,126
233,127
234,128
235,129
236,130
237,131
238,132
239,133
243,134
244,33
245,135
246,136
249,137
250,138
252,139
252,140
252,141
254,142
256,143
257,144
258,145
259,146
261,147
262,148
263,149
264,150
268,151
270,152
271,153
273,154
274,155
274,156
275,157
276,158
276,159
277,160
279,161
280,162
283,163
283,163
284,164
286,165
294,166
295,167
296,168
299,169
302,170
303,171
304,172
305,171
307,173
310,174
310,4739
314,175
316,171
318,176
320,177
321,178
322,179
324,180
325,181
332,182
332,183
333,184
334,123
335,185
336,186
338,187
339,188
340,189
341,190
344,191
345,192
346,193
347,194
347,3661
348,195
350,196
351,197
352,198
353,199
353,10361
354,200
355,201
356,202
357,203
358,202
364,204
365,205
366,205
367,206
368,207
369,208
372,209
373,210
374,211
375,212
376,213
378,24
379,24
380,24
381,24
383,214
384,215
385,216
386,217
387,218
390,219
391,220
393,221
394,222
396,223
397,224
398,225
399,226
400,227
402,228
405,18
406,229
408,230
412,231
412,232
413,233
414,234
424,235
425,236
426,237
427,238
427,239
427,240
427,604
427,3661
428,241
430,242
430,243
430,244
430,245
431,246
432,247
433,248
435,249
437,250
438,251
439,252
440,253
440,9640
441,254
443,255
444,256
448,171
450,257
451,258
452,259
453,260
455,261
456,262
458,263
458,264
459,265
463,266
465,267
467,268
468,269
471,270
472,271
473,31
474,272
476,273
478,274
481,275
482,276
483,277
485,278
486,279
487,280
487,281
488,282
489,283
491,68
492,284
495,285
495,286
497,145
498,287
499,288
499,8922
500,289
504,290
505,291
508,292
510,293
510,294
511,295
512,296
517,297
520,298
522,299
523,300
524,301
527,302
528,303
530,304
531,305
532,306
533,307
533,308
534,69
536,309
536,310
539,24
543,311
544,312
545,313
547,314
548,87
549,315
550,315
551,316
552,316
555,317
556,318
557,319
557,319
559,208
561,208
562,31
564,320
565,321
566,322
567,323
568,324
570,325
571,326
575,327
576,328
577,329
578,330
579,331
580,332
581,291
582,333
583,334
585,335
586,336
587,337
588,262
591,338
593,339
594,340
595,341
596,342
597,343
598,344
600,345
601,346
601,347
603,348
606,349
607,350
607,351
609,352
610,353
610,354
612,355
614,356
616,357
617,358
619,359
620,31
623,360
624,361
627,362
628,363
630,364
632,365
633,366
633,367
638,368
638,368
639,369
639,370
640,371
642,372
643,373
643,7483
643,7484
646,374
647,375
649,376
650,377
654,378
655,379
655,1259
656,380
658,381
661,382
662,383
665,18
666,384
667,385
668,375
669,386
673,387
674,29
675,388
680,389
683,390
684,391
685,392
686,393
688,270
689,394
690,395
692,396
693,397
694,397
695,69
697,398
700,321
701,399
702,400
703,401
704,402
705,87
706,208
706,403
706,404
707,405
708,406
708,407
709,408
710,409
711,410
712,411
713,412
714,413
714,8258
715,414
716,415
717,416
718,296
719,417
719,417
720,418
723,419
724,244
724,245
725,420
725,421
726,422
727,303
728,423
729,424
734,425
735,426
736,427
737,428
738,21
740,429
746,430
747,431
748,432
749,433
750,434
751,435
752,436
755,437
756,438
757,439
758,440
759,31
761,441
762,442
763,443
771,444
773,445
774,446
776,3291
776,3736
777,447
779,448
779,449
780,450
781,451
782,452
783,453
784,453
785,31
787,87
789,454
789,455
790,456
791,457
792,458
794,459
797,460
798,461
799,462
801,463
804,464
806,465
807,465
809,466
811,72
812,467
813,468
815,469
816,470
817,471
820,472
822,473
823,474
823,475
824,476
826,24
827,24
828,id
828,24
828,477
829,478
830,479
831,479
832,479
834,184
835,33
839,480
839,480
846,481
848,482
849,482
850,483
851,484
852,484
853,484
854,484
855,484
856,261
859,485
861,24
862,486
864,314
865,271
868,487
868,488
869,489
870,490
872,491
873,492
875,493
875,494
876,495
877,496
880,184
881,497
882,498
887,499
888,500
889,501
890,502
891,503
892,504
892,505
894,506
895,507
896,169
898,508
899,509
900,226
901,510
902,511
911,512
913,462
915,513
916,514
917,515
918,375
919,516
920,517
924,518
925,519
928,520
930,87
931,521
931,590
931,10686
931,521
931,590
931,10686
932,24
933,24
934,24
935,522
936,523
939,524
940,525
941,87
941,87
942,87
942,87
943,123
944,18
945,526
946,527
947,528
948,10687
951,529
952,530
953,531
954,532
954,10323
955,533
956,534
958,2316
959,535
960,536
961,537
961,537
966,538
967,539
968,540
969,404
970,541
970,541
973,542
974,31
975,543
976,544
977,545
978,546
978,547
978,548
979,549
981,550
982,551
983,552
985,446
985,553
986,554
989,555
990,33
993,556
995,33
996,33
997,33
998,445
999,171
1000,557
1002,558
1003,559
1004,560
1008,224
1009,561
1010,562
1011,562
1014,80
1015,563
1017,564
1018,565
1018,566
1018,567
1018,568
1018,569
1018,570
1018,571
1021,572
1023,24
1025,573
1026,456
1027,456
1029,574
1030,575
1033,326
1034,326
1035,576
1036,80
1037,577
1038,171
1039,578
1042,579
1044,47
1044,580
1045,581
1047,582
1048,583
1053,584
1055,585
1056,586
1058,587
1059,588
1061,28
1062,589
1065,590
1067,71
1070,591
1072,592
1074,24
1076,593
1076,593
1077,594
1080,595
1084,596
1086,597
1090,598
1091,599
1092,600
1093,31
1094,601
1094,601
1095,602
1096,603
1098,604
1098,3661
1099,605
1100,606
1101,607
1101,5689
1102,608
1102,608
1104,86
1105,609
1107,610
1108,611
1115,612
1116,613
1118,614
1120,615
1121,616
1121,616
1122,617
1124,id
1124,618
1124,619
1125,620
1127,621
1130,622
1132,623
1134,255
1136,87
1137,208
1138,624
1141,625
1143,345
1144,321
1145,626
1147,627
1150,628
1151,629
1152,607
1152,5689
1152,607
1152,5689
1153,314
1154,630
1155,631
1161,632
1163,633
1163,634
1164,635
1166,636
1169,637
1170,638
1172,639
1174,640
1177,641
1178,642
1181,643
1182,644
1182,645
1183,646
1184,24
1185,24
1186,24
1188,647
1189,648
1190,649
1193,650
1194,651
1195,652
1196,653
1199,654
1203,655
1203,2290
1207,87
1209,656
1210,656
1211,657
1212,658
1213,659
1213,660
1215,661
1215,661
1219,24
1220,662
1222,208
1222,663
1223,664
1224,665
1226,666
1227,667
1229,668
1231,517
1239,669
1241,670
1242,671
1251,672
1252,552
1254,673
1255,547
1256,674
1258,296
1261,675
1265,6636
1268,676
1268,3433
1268,10210
1268,10211
1269,677
1271,678
1274,679
1276,680
1277,681
1279,682
1280,683
1281,684
1283,685
1284,686
1284,3737
1289,687
1291,688
1291,689
1291,9005
1293,497
1295,690
1297,691
1299,541
1314,10688
1330,692
1331,693
1331,694
1335,695
1338,696
1339,697
1340,698
1342,612
1343,699
1344,700
1347,701
1348,701
1349,702
1354,703
1355,704
1356,705
1359,706
1363,707
1367,708
1368,709
1370,710
1371,711
1372,712
1375,713
1376,714
1377,715
1377,8595
1379,8910
1380,716
1381,717
1382,717
1383,718
1384,719
1385,720
1387,9160
1388,721
1392,722
1393,723
1393,2141
1394,724
1395,725
1396,725
1398,726
1401,727
1403,728
1404,729
1405,663
1407,730
1410,731
1411,732
1415,733
1416,734
1417,526
1421,735
1422,24
1423,24
1424,736
1425,737
1426,738
1428,739
1429,303
1430,740
1431,741
1432,189
1433,30
1434,742
1435,743
1436,744
1438,745
1438,746
1439,747
1440,747
1441,748
1443,749
1444,750
1445,751
1447,752
1451,33
1452,33
1453,33
1454,33
1455,33
1456,33
1457,33
1458,33
1458,753
1461,754
1462,755
1463,754
1464,755
1465,756
1470,757
1471,758
1472,21
1472,340
1473,759
1474,760
1475,761
1475,6479
1476,762
