media_id,actor_id
0,0
0,1
0,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
2,10
2,11
2,27604
3,12
3,13
3,60683
3,60684
3,60685
4,14
4,15
4,16
4,17
4,18
4,19
4,20
4,21
5,22
5,23
5,24
5,25
6,26
6,27
6,28
6,29
6,30
6,31
6,32
6,33
6,34
6,35
6,36
6,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,6243
6,60769
7,48
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
7,57
7,58
7,59
7,60
7,61
7,62
7,63
7,38023
8,64
8,65
8,66
9,67
9,68
9,69
10,70
10,71
10,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
10,81
10,60695
11,82
11,83
11,84
12,85
12,86
12,87
12,88
12,89
12,13191
13,90
13,91
13,92
13,93
13,94
13,95
13,96
13,97
13,98
13,99
14,100
14,101
14,102
14,103
15,104
15,105
15,106
15,107
15,108
15,109
15,110
15,111
15,112
15,113
15,114
15,115
15,30588
16,116
16,117
16,118
17,119
18,120
19,13
19,121
19,122
19,123
19,124
19,125
19,126
19,127
21,128
21,129
21,130
21,131
22,132
22,133
23,134
23,135
23,136
23,137
23,138
23,139
23,140
23,141
24,142
24,143
24,144
24,145
24,146
24,147
24,148
24,149
24,150
24,151
24,152
24,153
24,154
24,155
24,156
24,157
26,158
26,159
26,160
26,161
26,162
27,163
27,164
27,22088
28,165
28,166
28,167
28,168
29,169
29,170
29,170
29,11030
29,33640
29,60646
29,60647
30,171
30,172
30,173
31,174
31,175
32,176
32,177
32,178
32,179
32,180
32,181
35,182
35,183
35,184
35,185
35,186
35,187
35,188
35,189
35,190
35,191
35,192
35,193
35,194
35,19683
35,24214
36,195
36,196
36,197
37,198
37,199
37,200
37,201
37,37145
38,202
39,203
40,204
41,205
42,206
43,204
44,204
45,204
46,204
47,204
48,204
49,204
50,204
51,204
52,207
52,208
52,209
52,210
52,211
53,13
53,212
53,213
53,214
53,215
53,216
53,217
53,218
53,219
54,220
55,220
56,221
56,222
56,223
56,224
56,225
56,226
56,227
56,228
56,229
56,230
57,231
58,232
58,233
58,234
58,235
58,236
58,237
59,238
59,239
59,240
59,241
59,242
59,35179
60,243
60,244
61,245
61,246
61,245
61,470
61,1294
61,3330
61,7514
61,7735
61,10611
61,12157
61,13306
61,13671
61,14931
61,29936
61,43730
62,247
62,248
62,249
62,250
62,251
62,252
62,253
62,254
62,255
62,256
62,257
62,258
63,259
63,260
63,261
63,262
63,263
63,264
63,265
64,266
64,267
64,268
65,269
65,270
65,271
65,272
65,273
66,274
67,275
67,276
67,277
68,278
69,279
71,280
73,281
73,282
73,283
73,284
73,285
73,286
73,287
73,288
73,289
73,60693
75,290
79,291
79,292
79,293
80,294
80,295
81,296
81,297
82,298
82,299
83,300
83,301
84,302
84,303
84,304
84,305
84,306
84,307
84,308
84,309
84,310
84,311
84,312
84,313
84,314
84,315
84,316
84,317
84,318
84,319
84,320
84,321
84,322
84,323
85,324
86,325
86,326
86,327
87,328
87,329
87,330
88,331
88,332
89,333
89,334
89,335
89,336
89,337
89,338
89,339
89,340
89,341
89,342
89,343
89,344
89,345
89,346
89,347
89,348
89,349
89,350
89,351
89,352
89,353
89,354
89,355
89,356
89,357
89,358
89,359
89,360
89,361
89,26063
90,362
90,363
90,364
90,365
90,366
90,367
90,368
90,369
90,370
90,31768
90,31769
92,371
92,5000
93,372
93,22090
94,372
94,22090
95,373
95,374
96,375
96,376
96,377
97,378
97,379
99,380
99,381
99,382
99,383
99,384
101,302
101,385
101,386
101,387
101,388
101,389
101,390
101,391
101,392
101,393
101,394
101,395
101,396
101,397
101,398
101,399
101,400
101,401
101,402
101,403
101,404
101,405
101,406
101,407
101,408
101,409
101,410
102,411
102,412
102,413
104,414
104,415
104,416
104,417
104,418
104,419
104,420
104,421
104,422
104,423
105,424
105,425
105,426
107,427
109,428
111,429
111,429
112,430
112,431
112,432
112,433
112,7534
113,434
113,435
113,436
114,437
115,438
115,439
115,440
115,441
115,442
115,443
115,444
115,445
115,446
115,447
115,448
115,449
115,450
115,451
115,452
115,453
115,454
115,455
115,456
115,457
115,458
115,459
115,460
115,461
115,462
116,463
116,464
116,465
116,466
116,467
117,468
117,469
117,470
117,471
117,472
117,473
117,474
117,475
117,476
117,60684
122,477
122,478
122,479
123,480
